type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
1,25,467,3,6,80,0,26.9
1,26,301,2,3,51,1,17.7
1,25,123,2,1,47,1,29.4
1,22,78,2,0,46,1,32.3
1,26,286,2,1,49,1,36.2
1,26,186,2,2,44,1,33.4
1,24,86,2,1,41,1,30.6
1,23,258,2,2,46,1,37.3
1,24,291,2,6,48,1,27.1
1,26,266,2,2,50,1,45
1,26,281,2,1,50,1,23.3
1,23,157,2,3,40,1,28.8
1,25,260,2,5,50,1,36.5
1,26,338,2,4,50,1,23.2
1,25,285,2,1,49,1,28.7
1,21,382,2,5,46,1,14.2
1,27,257,2,5,50,1,39.9
1,24,282,2,1,47,1,27.1
1,23,288,2,1,46,1,37.1
1,24,286,2,1,49,1,27.7
1,25,86,2,0,41,1,26.8
1,26,213,2,1,50,1,32.3
1,23,324,2,3,47,1,30.2
1,23,231,2,3,43,1,24.2
1,23,327,2,1,47,1,56
1,25,323,2,2,48,1,30.8
1,25,383,2,6,50,1,34.9
1,23,322,2,2,46,1,37.3
1,25,284,2,1,48,1,26
1,24,65,2,0,47,1,16.8
1,25,218,2,1,48,1,9
1,24,17,2,0,35,1,21
1,24,302,2,2,48,1,30.3
1,26,307,2,6,50,1,24.7
1,25,177,2,2,44,1,5
1,23,36,2,0,42,1,5.8
1,24,146,2,1,40,1,40.6
1,24,327,2,3,48,1,33.1
1,24,225,2,6,48,1,39.1
1,22,283,2,1,46,1,26.4
1,23,145,2,2,39,1,33.2
1,25,165,2,3,48,1,36.7
1,24,275,2,6,47,1,26.4
1,24,285,2,2,48,1,28.4
1,24,348,2,4,48,1,19.8
1,23,295,2,2,47,1,26.9
1,23,52,2,0,46,1,46.9
1,23,302,2,3,46,1,33.9
1,25,228,2,3,50,1,21.3
1,26,192,2,2,49,1,23.3
1,26,321,2,2,49,1,30.4
1,24,173,2,3,44,0,32.5
1,23,51,2,0,36,0,16.9
1,23,272,2,1,43,0,33.3
1,26,75,2,0,44,0,43.5
1,24,160,2,3,44,0,34
1,27,62,2,0,43,0,33
1,21,336,2,3,43,0,24.7
1,23,272,2,6,43,0,42.4
1,24,129,2,2,43,0,27.3
1,23,166,2,3,43,0,34.8
1,23,139,2,2,43,0,53.7
1,23,150,2,1,42,0,30.2
1,23,237,2,1,42,0,31.2
1,22,254,2,0,42,0,19.3
1,22,110,2,0,42,0,30.1
1,24,165,2,3,40,0,31.6
1,24,43,2,0,40,0,27
1,23,67,2,0,39,0,37
1,23,140,2,1,39,0,26.7
1,23,50,2,0,39,0,33.6
1,22,92,2,1,37,0,18
1,22,123,2,2,39,0,38.8
1,23,138,2,1,38,0,27.2
1,23,78,2,0,38,0,39.4
1,26,42,2,0,38,0,33.2
1,25,78,2,0,38,0,34.9
1,22,94,2,1,38,0,30.7
1,23,133,2,2,38,0,36.7
1,22,139,2,2,38,0,28.1
1,22,106,2,1,38,0,30.1
1,22,138,2,1,38,0,16.3
1,22,96,2,1,38,0,17.1
1,22,67,2,0,37,0,28.1
1,22,133,2,2,37,0,38.8
1,22,79,2,0,37,0,40.9
1,25,13,2,0,37,0,37
1,24,35,2,0,37,0,28.2
1,23,69,2,0,36,0,37
1,23,50,2,0,36,0,31.8
1,22,14,2,0,36,0,19.6
1,23,132,2,1,36,0,27.1
1,23,50,2,0,36,0,34.9
1,23,78,2,0,36,0,39.3
1,22,69,2,0,36,0,35.9
1,23,55,2,0,36,0,38.1
1,22,71,2,0,36,0,32.8
1,23,49,2,0,36,0,41.6
1,22,41,2,0,36,0,46.4
1,23,35,2,0,35,0,34
1,23,36,2,0,35,0,35.2
1,24,180,1,3,30,1,20.6
1,23,74,1,0,25,1,23.6
1,22,177,1,1,28,1,27.9
1,25,148,1,2,29,1,27.5
1,25,200,1,4,31,1,32.3
